Part Name,Reference,Value,,Quantity
Capacitor,C3,1uF,,1
Capacitor,C4,10nF,,1
Capacitor,C9,3pF,,1
Capacitor,"C8, C11",100nF,,2
Capacitor,"C1, C5-C7, C13",10uF,,5
Capacitor,CFF1,100pF,,1
Diode,D1,-,,1
DC Jack,J1,-,,1
SMA Connector,"J2, J3",-,,2
Ground connector,J4,-,,1
Inductor,L1-L3,22uH,,3
Resistor,R1,100k,,1
Resistor,R2,32k,,1
Resistor,R4,0R,,1
Resistor,R5,1M,,1
Resistor,RFB1,30k,,1
Resistor,RFB2,4.7k,,1
Negative regulator,    U1,TPS723,,1
Boost converter,    U2,LM2611,,1
5V regulator,    U3,ADP3330-5,,1
Opamp,U4,ADA4622,,1